¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
·s¥«°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«·s¥«°Ï¥úµØµó152«Ñ1~30¸¹,84.24,¦í,,,1060418,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0691101,109.41,4,2,3,¦³,µL,3300000,30162,,0.0,0,,RPSNMLMLNHMFFER07CA
Ãö¼q°Ï,¤g¦a,·s®H¬q691~720¦a¸¹,5470.0,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,1060405,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3100000,567,,0.0,0,,RPTOMLOJNHMFFFR37CA
¤¯¼w°Ï,¤g¦a,«n¶Õ¶é¬q241~270¦a¸¹,76.87,¨ä¥L,,,1060325,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,554496,7213,,0.0,0,,RPUOMLOJNHMFFFR47CA
¤¯¼w°Ï,¤g¦a,«n¶Õ¶é¬q241~270¦a¸¹,124.69,¨ä¥L,,,1060325,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,360000,2887,,0.0,0,,RPWOMLOJNHMFFFR67CA
¦w©w°Ï,¤g¦a,´ä¤l§À¬q691~720¦a¸¹,178.25,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060406,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1800000,10098,,0.0,0,,RPRNMLLJOHMFFER76CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï´ò¬ü¤@µó42«Ñ1~30¸¹,37.96,¦í,,,1060328,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0710930,46.15,5,2,3,¦³,µL,1862794,40364,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPROMLNJNHMFFAD87DA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥Ã±d°ÏÆQ¦æ¨½20¾F¥¿«n¤­µó289«Ñ61~90¸¹,7.0,¦í,,,1060411,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,¤C¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821228,33.84,1,0,1,¦³,¦³,750000,22163,,0.0,0,,RPRNMLPLNHMFFHR57CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥Ã±d°ÏÆQ¦æ¨½·s¥Áµó66«Ñ1~30¸¹,6.19,¦í,,,1060330,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,¤E¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821230,58.7,1,0,1,¦³,¦³,1300000,22147,©Y¹D¥­­±,0.0,0,,RPVOMLQLNHMFFHR18CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥Ã±d°Ï¥|ºûµó181~210¸¹,75.8,¦í,,,1060327,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0750101,118.53,5,2,2,¦³,µL,5900000,49776,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPSNMLLMNHMFFHR37CA
¥Ã±d°Ï,¤g¦a,ÆQ¥_¬q751~780¦a¸¹,53.68,¨ä¥L,,,1060413,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,135000,2515,,0.0,0,¥»®×¥ó¬°¤½³]¦a¤§¶R½æ,RPTOMLLKNHMFFHR37CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥Ã±d°Ï¤j¾ô¨½¤j¾ô¤@µó31~60¸¹,19.43,¦í,,,1060327,¤g¦a3«Øª«1¨®¦ì1,¥|¼h,¤E¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821221,139.44,3,2,2,¦³,¦³,4850000,34782,©Y¹D¥­­±,0.0,0,,RPOOMLKKNHMFFHR76CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥Ã±d°Ï¤j¾ô¤Tµó241~270¸¹,17.28,¦í,,,1060408,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤»¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820317,82.77,2,2,1,¦³,µL,2300000,27788,©Y¹D¾÷±ñ,0.0,0,,RPRNMLLKNHMFFHR07CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥Ã±d°Ï°ê¥Á¸ô93«Ñ1~30¸¹,90.0,¦í,,,1060331,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,1050408,195.84,4,2,3,¦³,µL,12980000,66279,,0.0,0,,RPSNMLKKNHMFFHR07CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥Ã±d°Ï¤­¤ý¨½¤¤µØ¸ô578«Ñ1~30¸¹,3.97,¦í,,,1060320,¤g¦a2«Øª«1¨®¦ì0,¤C¼h,¤K¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0851028,23.31,1,1,1,¦³,¦³,820000,35178,,0.0,0,,RPQNMLTJNHMFFHR67CA
Âk¤¯°Ï,¤g¦a,¶ý¯ª¼q¬q¤@¤p¬q631~660¦a¸¹,2863.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060416,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,17700000,6182,,0.0,0,,RPTNMLMLNHMFFFR27CA
¥Ã±d°Ï,¤g¦a,¼s¿³¬q631~660¦a¸¹,7.84,¨ä¥L,,,1060425,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,47000,5995,,0.0,0,¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPQNMLOJNHMFFHR17CA
¥Ã±d°Ï,¤g¦a,¼s¿³¬q631~660¦a¸¹,6.12,¨ä¥L,,,1060425,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,37000,6046,,0.0,0,¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPRNMLOJNHMFFHR27CA
¥Ã±d°Ï,¤g¦a,¼s¿³¬q631~660¦a¸¹,5.05,¨ä¥L,,,1060425,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,30000,5941,,0.0,0,¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPSNMLOJNHMFFHR37CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥Ã±d°ÏªF¾ô¤­¸ô91~120¸¹,19.0,°Ó,,,1060303,¤g¦a1«Øª«1¨®¦ì1,¤Q¤G¼h,¤G¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,1051026,166.08999999999997,3,2,2,¦³,¦³,8790000,52923,©Y¹D¥­­±,0.0,0,,RPVOMLPJNHMFFHR87CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥Ã±d°ÏªF¾ô¨½28¾FªF¾ô¤T¸ô121~150¸¹,22.47,°Ó,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤G¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,1050512,215.7,4,2,2,¦³,¦³,12500000,57951,©Y¹D¥­­±,22.0,0,,RPUNMLSKNHMFFHR08CA
¥Ã±d°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥Ã±d°ÏªF¾ô¤­¸ô91~120¸¹,24.19,°Ó,,,1060317,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,¤G¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,1051026,213.62,4,2,2,¦³,¦³,10850000,50791,©Y¹D¥­­±,0.0,0,,RPROMLPJNHMFFHR47CA
¥Ã±d°Ï,¤g¦a,³Ó§Q¬q1~30¦a¸¹,5.9,¨ä¥L,,,1060328,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,500000,84746,,0.0,0,,RPQOMLPKNHMFFHR47CA
Âk¤¯°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«Âk¤¯°Ï«n«O¨½¤å¤Æ¤Kµó1~30¸¹,78.93,¦í,,,1060417,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0700307,103.8,3,1,2,¦³,µL,1560319,15032,,0.0,0,"¤Gµ¥¿Ë¶¡¤§¥æ©ö¡C¤g¦a¨Ì106¦~¤½§i²{­È,«Øª«¨Ìµû­q»ù­È©Ó¶R.",RPRNMLNJNHMFFFR17EA
¤CªÑ°Ï,¤g¦a,¿w¥[¬q151~180¦a¸¹,11494.0,,¤@¯ë¹A·~°Ï,¾i´Þ¥Î¦a,1060413,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,8295000,722,,0.0,0,,RPPNMLOJNHMFFDR76DA
ªF¤s°Ï,¤g¦a,ªF¦w¬q541~570¦a¸¹,132.23,¦í,,,1060420,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1439095,10883,,0.0,0,,RPTNMLPJNHMFFBR96CA
«á¾À°Ï,¤g¦a,¤W­XÐ¤¬q¤W­XÐ¤¤p¬q841~870¦a¸¹,4900.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060414,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4410000,900,,0.0,0,,RPPNMLSJNHMFFBR86CA
©x¥Ð°Ï,¤g¦a,ªÀ¤l¬q361~390¦a¸¹,8147.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1060331,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6880000,844,,0.0,0,,RPVNMLOJNHMFFCR17CA
¤»¥Ò°Ï,¤g¦a,Àt¤l´ä¬q391~420¦a¸¹,613.67,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060414,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4000000,6518,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLOJNHMFFCR56CA
¤UÀç°Ï,¤g¦a,Àç¥­¬q601~630¦a¸¹,204.75,¦í,,,1060424,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2477472,12100,,0.0,0,,RPRNMLOJNHMFFCR76CA
³Â¨§°Ï,¤g¦a,¤jÑL¬q361~390¦a¸¹,113.56,¦í,,,1060414,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1900000,16731,,0.0,0,¨ü¶ÅÅv¶Å°È¼vÅT©Î¶Å°È©èÀv¤§¥æ©ö¡C,RPTNMLMKNHMFFCR86CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«ªF°Ï±R©ú¸ô121~150¸¹,14.18,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¤»¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0850203,147.43,3,2,2,¦³,¦³,5700000,38662,©Y¹D¾÷±ñ,0.0,0,,RPTOMLQLNHMFFCD68CA
¬hÀç°Ï,¤g¦a,¬hÀç¬q·Å­íú@¤p¬q931~960¦a¸¹,2888.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060414,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4332000,1500,,0.0,0,,RPTNMLOJNHMFFAR76CA
·sÀç°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«·sÀç°Ï¶}¤¸¸ô61~90¸¹,14.48,¦í,,,1060420,¤g¦a2«Øª«1¨®¦ì0,¤Q¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830630,103.48,3,2,2,¦³,¦³,3080000,29764,,0.0,0,½æ¤èªþÃØºë¬ü¸ËæC¤Î®a¨ã¡C,RPRNMLPKNHMFFAR76CA
·sÀç°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«·sÀç°Ï¥Áºa¨½¤Ó¤l¸ô44«Ñ1~30¸¹,82.35,¦í,,,1060322,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0690905,110.08,5,2,1,¦³,µL,2300000,20894,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C§t¼W«Ø©Î¥¼µn°O«Øª«¡C®æ§½¤¤¥]§t1¯«©úÆU,RPPNMLQJNHMFFAR56CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï°p¦w¸ô¤»¬q91~120¸¹,205.34,¦í,,,1060405,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0700413,121.52,6,3,3,¦³,µL,9200000,75708,,0.0,0,,RPPNMLPKNHMFFBD87CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«ªF°ÏªF¹ç¸ô121~150¸¹,33.39,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0861008,168.8,4,2,2,¦³,¦³,9000000,53318,©Y¹D¥­­±,0.0,0,,RPQPMLNJNHMFFCD97CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥««n°Ï©ú¿³¸ô655«Ñ1~30¸¹,74.33,¦í,,,1060401,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,1051101,180.36,4,2,4,¦³,µL,8250000,45742,,0.0,0,,RPRNMLPJNHMFFCD08CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥««n°Ï¤½­^¤@µó31~60¸¹,83.05,¦í,,,1060401,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0630411,106.98,3,2,2,¦³,µL,2277804,21292,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPWNMLKKNHMFFCD18CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°Ï¸Î§µ¸ô241~270¸¹,73.84,¦í,,,1060301,¤g¦a3«Øª«1¨®¦ì0,¥þ,¤­¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,0911126,196.11,4,2,3,¦³,µL,10360000,52827,,0.0,0,,RPPNMLSJNHMFFCD18CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«ªF°ÏªFªù¸ô¤G¬q365«Ñ34§Ë1~30¸¹,32.4,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0771224,110.7,3,2,2,¦³,µL,3450000,31165,,0.0,0,,RPSNMLSKNHMFFCD58CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥««n°Ïª÷µØ¸ô¤G¬q51«Ñ61~90¸¹,33.75,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0670509,62.19,3,2,1,¦³,µL,2830000,45506,,0.0,0,,RPROMLMLNHMFFCD08CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°ÏÃÄ¤ý¨½¬üÄRµó1~30¸¹,24.61,¦í,,,1060316,¤g¦a1«Øª«1¨®¦ì0,¤Q¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0880730,139.32999999999998,3,2,2,¦³,¦³,5100000,36604,,0.0,0,,RPTQMLPJNHMFFAD38CA
¤¤¦è°Ï,¨®¦ì,»O«n¥«¤¤¦è°ÏÃÄ¤ý¨½¸¹,0.11,¦í,,,1060306,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,26.53,0,0,0,¦³,¦³,900000,,©Y¹D¥­­±,0.0,900000,,RPQOMLSJNHMFFAD18CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ïªøºa¸ô¤­¬q151«Ñ1~30¸¹,80.0,¦í,,,1060318,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0620410,107.19,6,2,2,¦³,µL,4550000,42448,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«-ªÅ¦a¡B¶§¥x¡B³»¼Ó¥[»\¡C,RPSPMLPJNHMFFAD18CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï®ü¦w¸ô¤@¬q1~30¸¹,93.0,¦í,,,1060318,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿j³y,0510101,256.17,0,9,3,¦³,µL,17100000,66753,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¥»®×µn°O¤G¤H,RPTPMLPJNHMFFAD28CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¤¤¦è°Ï©²«e¸ô¤G¬q258«Ñ29§Ë31~60¸¹,41.35,¦í,,,1060310,¤g¦a4«Øª«1¨®¦ì1,¤@¼h¡A¤G¼h¡A¤T¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤gºc³y,0790615,169.03,4,2,3,¦³,¦³,5500000,32539,©Y¹D¥­­±,0.0,0,,RPSNMLTJNHMFFAD38CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¨|½åµó27«Ñ1~30¸¹,82.16,¦í,,,1060318,¤g¦a2«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0940525,236.04,4,3,4,¦³,µL,14900000,63125,,0.0,0,,RPQQMLLKNHMFFAD77CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï¤¤¦¨¸ô1~30¸¹,5.32,°Ó,,,1060405,¤g¦a1«Øª«1¨®¦ì0,¤Q¤­¼h,¤G¤Q¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860127,63.3,1,1,1,¦³,¦³,2650000,41864,,0.0,0,,RPPRMLMKNHMFFAD87CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¦w¥­¸ô500«Ñ31~60¸¹,134.98,¦í,,,1060405,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0931201,284.57,5,2,4,¦³,µL,15500000,54468,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPVNMLNKNHMFFAD18CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï¨|¦wµó61~90¸¹,66.8,¦í,,,1060222,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1051114,172.99,4,2,5,¦³,µL,10500000,60697,,0.0,0,,RPQNMLMKNHMFFBD67CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï¥\¦w¤@µó31~60¸¹,80.98,¦í,,,1060303,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0870810,198.5,4,2,3,¦³,µL,6750000,34005,,0.0,0,,RPRNMLTJNHMFFBD38CA
¦w«n°Ï,¤g¦a,¦ú¥_¬q361~390¦a¸¹,496.05,¹A,,,1060424,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1590500,3206,,0.0,0,,RPPNMLOJNHMFFBD67CA
¦w«n°Ï,¤g¦a,¬ì¤u¬q301~330¦a¸¹,4938.65,¤u,,,1060426,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,96348123,19509,,0.0,0,,RPSNMLOJNHMFFBD97CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¥_¦¨¸ô181~210¸¹,22.1,°Ó,,,1040331,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060119,171.2,3,2,2,¦³,¦³,7800000,45561,©Y¹D¥­­±,0.0,900000,,RPTNMLMLNHMFFAD97CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¥_¦¨¸ô181~210¸¹,21.75,°Ó,,,1051230,¤g¦a1«Øª«1¨®¦ì1,¤Q¥|¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060119,168.37,3,2,2,¦³,¦³,7900000,46920,©Y¹D¥­­±,0.0,1100000,,RPTRMLKLNHMFFAD18CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¥_¦¨¸ô181~210¸¹,13.21,°Ó,,,1060320,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060119,93.49000000000001,2,2,1,¦³,¦³,4600000,49203,,0.0,0,,RPURMLKLNHMFFAD28CA
¤¤¦è°Ï,¤g¦a,·s¬ü¬q61~90¦a¸¹,80.61,°Ó,,,1060416,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,15740000,195261,,0.0,0,1.§t¼W«Ø©Î¥¼µn°O«Øª«¡C2.¤g¦a»ù®æ15731300¤¸¡A¥¼«O¦sµn°O«Øª«»ù®æ8700¤¸¡C,RPPNMLNLNHMFFAD67CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¦w¥_¸ô131«Ñ1~30¸¹,61.12,¦í,,,1060325,¤g¦a2«Øª«1¨®¦ì0,¤T¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0681231,109.97,3,1,3,¦³,µL,4500000,40920,,0.0,0,,RPQPMLMLNHMFFAD87CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï¨ª®rªFµó61~90¸¹,11.14,°Ó,,,1060328,¤g¦a3«Øª«1¨®¦ì0,¤E¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870212,97.56,2,2,2,¦³,µL,3600000,36900,,0.0,0,,RPTPMLMLNHMFFAD18CA
¦w«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w«n°Ï©²¦w¸ô¤»¬q103«Ñ151~180¸¹,53.93,¦í,,,1060410,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0701030,106.81,3,1,2,¦³,µL,3500000,32768,,0.0,0,,RPPNMLPJNHMFFBD77CA
