╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
─кж╦░╧,дgжa,к°жwмq271~300жa╕╣,370.46,дu,,,1060201,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,30000000,80980,,0.0,0,│sеєе╙│°бA╢Rдш╡е2дHбA┴`╗∙кўзtж│д@н╙е╝лOжsл╪кл╗∙кў50╕UбC,RPRNMLRLOHMFFEH76EA
╞[н╡░╧,дgжa,╞[╖sмq1081~1110жa╕╣,103.16,░╙,,,1060124,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3540000,34316,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPSOMLPKOHMFFBH98EA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧└ЇддкF╕Ї211~240╕╣,7.98,жэ,,,1060213,дgжa1л╪кл1иожь0,жaдU╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0900402,73.44,0,0,0,╡L,ж│,2400000,32680,,0.0,0,,RPWPMLQKOHMFFBH96EA
ен┬э░╧,дgжa,лn╡╪мq1291~1320жa╕╣,5002.32,╣A,,,1060104,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,37830000,7562,,0.0,0,,RPRNMLQKOHMFFGH76EA
└tдs░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щел└tдs░╧└s╖s╡є61~90╕╣,37.75,жэ,,,1060301,дgжa1л╪кл1иожь1,д╗╝h,дE╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040618,202.74,3,2,2,ж│,ж│,16660000,87207,йY╣Dенн▒,28.9,1500000,,RPSOMLRLOHMFFHH07CA
└tдs░╧,дgжa,лnоr│╗мqдjз|дpмq391~420жa╕╣,128.0,╣A,,,1060324,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3210240,25080,,0.0,0,,RPPNMLKKMHMFFHH48EA
дj╖╦░╧,й╨жa(дgжa+л╪кл),оч╢щелдj╖╦░╧д@д▀и╜дд╡╪╕Ї1~30╕╣,130.0,жэ,,,1060316,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,е[▒j┐j│y,0661212,115.14,3,2,2,ж│,╡L,4900000,42557,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC╝Wн╚╡|е╤╢Rдшнt╛сбC,RPXNMLLLOHMFFCH09DA
└tдs░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щел└tдs░╧╕U╣╪╕Їд@мq121~150╕╣,13.18,жэ,,,1060228,дgжa1л╪кл1иожь1,дQд@╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0900823,165.15,4,2,2,ж│,ж│,12300000,74478,йY╣Dенн▒,0.0,1500000,зt╝Wл╪й╬е╝╡n░Oл╪кл,RPPNMLQKMHMFFHH98DA
└tдs░╧,й╨жa(дgжa+л╪кл),оч╢щел└tдs░╧йпм№дE╡є31~60╕╣,44.53,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,1060317,дgжa2л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0860204,99.17,3,2,2,ж│,ж│,3100000,31259,,0.0,0,,RPPNMLOKMHMFFHH68CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧дддs╕ЇдGл╤121~150╕╣,19.0,жэ,,,1060301,дgжa1л╪кл1иожь0,дн╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,е[▒j┐j│y,0660912,32.01,4,2,1,ж│,╡L,2220000,69353,,0.0,0,е╗╝╨к║клж│╝Wл╪,RPXQMLKLOHMFFBH66EA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧дддsкF╕Ї31~60╕╣,8.94,ифеL,,,1060412,дgжa1л╪кл1иожь0,дK╝h,дQдT╝h,┐ьд╜░╙╖~дj╝╙,░╙╖~е╬,┐√╡м▓V╛одg│y,0800319,86.93,0,0,1,ж│,ж│,3200000,36807,,0.0,0,,RPSQMLQKOHMFFAH56EA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧дЇиXд@╕Ї121~150╕╣,8.47,░╙,,,1060326,дgжa1л╪кл1иожь0,дT╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1050701,59.7,1,1,1,ж│,╡L,5410000,90620,,0.0,0,,RPXNMLLJNHMFFAH48CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧жP╝wд╗╡є61~90╕╣,16.98,░╙,,,1060410,дgжa1л╪кл1иожь1,дQе|╝h,дQдн╝h,┐ьд╜░╙╖~дj╝╙,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1030420,182.07999999999998,0,0,0,╡L,ж│,18930000,103965,йY╣Dенн▒,0.0,0,,RPTOMLLJNHMFFAH18CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧жP╝wд╗╡є121~150╕╣,28.01,жэ,,,1060312,дgжa1л╪кл1иожь0,д@╝hбAигифеL╡n░Oи╞╢╡,дQдT╝h,й▒н▒(й▒╛Q),░╙╖~е╬,┐√╡м▓V╛одg│y,0990526,186.57000000000002,0,0,1,ж│,ж│,34500000,184917,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPUOMLQKOHMFFAH56EA
ен┬э░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелен┬э░╧жwен╡є1~30╕╣,16.56,жэ,,,1060407,дgжa1л╪кл1иожь1,д@╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0801207,96.59,2,1,1,ж│,ж│,3200000,33133,д╔н░╛ў▒ё,0.0,0,,RPOOMLOKOHMFFGH78CA
└tдs░╧,иожь,оч╢щел└tдs░╧дjжP╕Ї104л╤1~30╕╣,0.11,жэ,,,1060401,дgжa0л╪кл0иожь1,жaдUд@╝h,дK╝h,ифеL,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940518,25.06,0,0,0,ж│,ж│,860000,,д@╝╙енн▒,25.06,860000,,RPTOMLRLOHMFFHH17CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧├└дхд@╡є61~90╕╣,15.0,░╙,,,1051116,дgжa1л╪кл1иожь1,дQдG╝h,дQдK╝h,┐ьд╜░╙╖~дj╝╙,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050601,187.76,0,0,0,╡L,ж│,19850000,105720,йY╣Dенн▒,21.42,0,,RPPOMLLJNHMFFAH77CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧╜моH╡є1~30╕╣,27.02,жэ,,,1060408,дgжa1л╪кл1иожь0,дC╝h,дQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0791117,143.54,3,2,2,ж│,ж│,6700000,46677,,0.0,0,,RPPPMLOJNHMFFAH18CA
оч╢щ░╧,иожь,оч╢щелоч╢щ░╧дj┐│╕Ї271~300╕╣,0.56,жэ,,,1060407,дgжa0л╪кл0иожь1,,,ифеL,,,,29.34,0,0,0,ж│,ж│,1200000,,йY╣Dенн▒,29.34,1200000,,RPVOMLLJNHMFFAH38CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дj┐│╕Ї290л╤1~30╕╣,36.23,жэ,,,1060407,дgжa1л╪кл1иожь1,д@╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1020925,234.42000000000002,3,2,2,ж│,ж│,15600000,66547,йY╣Dенн▒,29.34,0,,RPWOMLLJNHMFFAH48CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╖RдG╡є61~90╕╣,19.91,жэ,,,1060412,дgжa1л╪кл1иожь1,дQ╝h,дQдT╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1001128,143.76,3,2,2,ж│,ж│,7600000,52866,йY╣Dенн▒,35.61,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC╢R╜ц┬∙дшм░й╨кFй╨л╚├ЎлY,RPVPMLLJNHMFFAH48CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧ж█▒j╕Ї91~120╕╣,19.12,жэ,,,1060405,дgжa1л╪кл1иожь1,дн╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850706,195.60000000000002,4,2,2,ж│,ж│,10900000,55726,йY╣Dенн▒,57.75,0,,RPPOMLMJNHMFFAH87CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧лO├╣╡є91~120╕╣,33.4,жэ,,,1060325,дgжa1л╪кл1иожь0,дн╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0751030,105.83,2,1,2,ж│,╡L,4800000,45356,,0.0,0,,RPTNMLNJNHMFFAH28CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дхдд╕Ї47л╤31~60╕╣,18.33,жэ,,,1060412,дgжa1л╪кл1иожь1,дн╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0921031,183.7,4,2,2,ж│,ж│,10700000,58247,йY╣Dенн▒,0.0,0,,RPRPMLNJNHMFFAH28CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧к°мK╕Ї331~360╕╣,19.63,жэ,,,1060328,дgжa1л╪кл1иожь1,д@╝hбAзи╝h,дQ╝h,й▒н▒(й▒╛Q),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031031,144.08,0,0,1,╡L,ж│,19150000,157398,йY╣Dенн▒,33.85,1800000,,RPVNMLPJNHMFFAH68CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧жP╝wдQдG╡є361~390╕╣,47.18,жэ,,,1060424,дgжa1л╪кл1иожь2,дK╝h,дGдQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1030327,327.51,3,2,3,ж│,ж│,26500000,86127,йY╣Dенн▒,58.14,3300000,,RPWNMLPJNHMFFAH78CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧жP╝wдQдG╡є361~390╕╣,41.05,жэ,,,1060327,дgжa1л╪кл1иожь2,дQдG╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1030327,289.09000000000003,3,2,2,ж│,ж│,23500000,87465,йY╣Dенн▒,58.14,3300000,,RPXNMLPJNHMFFAH88CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╖Oдх╕Ї1~30╕╣,15.97,жэ,,,1060324,дgжa1л╪кл1иожь1,дQд@╝h,дQдT╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1000303,131.44,2,2,1,ж│,ж│,7500000,57060,йY╣Dенн▒,36.59,0,,RPPNMLPJNHMFFAH08CA
оч╢щ░╧,дgжa,дp└╠╖╦мq1~30жa╕╣,170.0,ифеL,,,1060419,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,14399000,84700,,0.0,0,,RPTOMLPJNHMFFAH58CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧╕g░ъ╕Ї391~420╕╣,13.21,жэ,,,1060312,дgжa1л╪кл1иожь0,д╗╝h,дQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0831026,109.25,3,2,2,ж│,ж│,6400000,58581,,0.0,0,,RPRPMLPJNHMFFAH48CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дj┐│жш╕ЇдGмq69л╤61~90╕╣,15.83,жэ,,,1060317,дgжa2л╪кл1иожь1,дQд@╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1000309,121.87,2,1,1,ж│,ж│,7780000,63839,йY╣Dенн▒,32.44,0,,RPRNMLSJNHMFFAH58CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╖qдT╡є190л╤1~30╕╣,17.11,жэ,,,1060407,дgжa1л╪кл2иожь1,е|╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830908,127.85,3,2,2,ж│,ж│,6750000,52796,йY╣Dенн▒,0.0,0,,RPURMLTJNHMFFAH76CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧дде┐╕Ї1381~1410╕╣,10.91,жэ,,,1060327,дgжa1л╪кл1иожь0,д@╝h,дQд╗╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830803,100.95,3,2,2,ж│,ж│,5830000,57751,,0.0,0,,RPVNMLRKNHMFFAH98CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╖O╝w╡є91~120╕╣,14.53,░╙,,,1060126,дgжa3л╪кл2иожь1,дC╝h,дQдT╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0930720,135.48000000000002,3,2,2,ж│,ж│,7500000,55359,йY╣Dенн▒,0.0,0,,RPXNMLRKNHMFFAH56CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧мKдщ╕Ї1261~1290╕╣,24.9,жэ,,,1060421,дgжa1л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0730320,99.86,3,1,1,ж│,╡L,2500000,25035,,0.0,0,,RPUNMLSKNHMFFAH98CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧░ъ╗┌╕Їд@мq61~90╕╣,30.25,жэ,,,1060327,дgжa1л╪кл1иожь1,дн╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1041025,170.25,3,2,2,ж│,ж│,10300000,65513,йY╣Dенн▒,29.82,1100000,,RPVNMLSKNHMFFAH09CA
оч╢щ░╧,иожь,оч╢щелоч╢щ░╧░ъ╗┌╕Їд@мq61~90╕╣,0.12,жэ,,,1060327,дgжa0л╪кл0иожь1,,,ифеL,,,,29.82,0,0,0,ж│,ж│,1100000,,йY╣Dенн▒,29.82,1100000,,RPXNMLSKNHMFFAH66CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧лn┬╫╡є181~210╕╣,150.0,жэ,,,1060331,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0591105,144.07,5,4,4,ж│,╡L,18380000,127577,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPTPMLTKNHMFFAH56CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧ддоHд@╡є361л╤1~30╕╣,22.79,жэ,,,1060409,дgжa1л╪кл1иожь1,дT╝h,дE╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0870121,162.49,4,2,2,ж│,ж│,8800000,54154,йY╣Dенн▒,0.0,0,,RPPNMLNLNHMFFAH08CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧й╛дG╕Ї192л╤1~30╕╣,66.2,жэ,,,1060410,дgжa0л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0601115,87.6,7,2,5,ж│,╡L,6000000,68493,,0.0,0,,RPROMLNLNHMFFAH38CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дj│sд@╡є61~90╕╣,18.19,жэ,,,1060125,дgжa6л╪кл1иожь1,дG╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1020615,151.09,3,2,2,ж│,ж│,11400000,75452,йY╣Dенн▒,31.24,0,,RPQRMLNLNHMFFAH58CA
╞[н╡░╧,дgжa,дWдjмq1141~1170жa╕╣,80.64,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060419,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,584800,7252,,0.0,0,,RPWRMLLJNHMFFBH88CA
дд├c░╧,й╨жa(дgжa+л╪кл),оч╢щелдд├c░╧о╩д╕╕Ї301л╤31~60╕╣,10.74,ифеL,,,1060405,дgжa1л╪кл1иожь0,дQд@╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821216,84.39999999999999,2,2,1,ж│,ж│,2300000,27251,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC╢R╜ц┬∙дшм░╝╙дW╝╙дUдз╛Fй~бCеBе╗дс▒aж│п▓м∙бCньецйЎ╗∙оцм░235╕UбAж]╜цдш╡Lкk┴Y╡uп▓┤┴бAмG┬∙дшжP╖Nзщ┤ю5╕UбC╣ъ╗┌жиецкў├Bм░230╕UбC,RPVUMLLJNHMFFBH09CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧лCоHе|╡є151~180╕╣,54.55,жэ,,,1030802,дgжa1л╪кл1иожь2,дQ╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050810,312.64,2,2,3,ж│,╡L,29280000,96428,йY╣Dенн▒,42.18,3200000,,RPSRMLMJNHMFFBH58CA
╞[н╡░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щел╞[н╡░╧дG╕t╕Ї431л╤1~30╕╣,33.16,░╙,,,1060226,дgжa1л╪кл1иожь1,дT╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050505,127.95,2,1,1,ж│,╡L,5950000,49224,йY╣Dенн▒,27.39,1000000,,RPXRMLMJNHMFFBH09CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧е├ої╕Ї151~180╕╣,26.65,жэ,,,1060402,дgжa1л╪кл1иожь1,дQдG╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1000330,173.89,3,2,2,ж│,ж│,10800000,62108,йY╣Dенн▒,0.0,0,зt╛ўиожьг╕жь,RPQNMLNJNHMFFBH08CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└sдtд╗╡є106л╤1~30╕╣,31.2,жэ,,,1060402,дgжa1л╪кл1иожь1,дG╝h,дн╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040601,88.61,2,2,1,ж│,ж│,4600000,51913,д@╝╙енн▒,0.0,0,,RPVNMLNJNHMFFBH58CA
дд├c░╧,дgжa,ж█е▀мq751~780жa╕╣,71.5,жэ,,,1060405,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3780000,52867,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC┼vзQдH╡е3дH,RPVOMLNJNHMFFBH68CA
╞[н╡░╧,й╨жa(дgжa+л╪кл),оч╢щел╞[н╡░╧и|дп╕Їд@мq661~690╕╣,26.29,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060411,дgжa1л╪кл1иожь0,е|╝h,е|╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850923,96.92999999999999,3,2,2,ж│,╡L,1000000,10317,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPUNMLPJNHMFFBH68CA
дд├c░╧,дgжa,┤_┐│мq2131~2160жa╕╣,26.51,░╙,,,1060220,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3100000,116937,,0.0,0,┐╦д═╢бдзецйЎбC,RPPOMLPJNHMFFBH28CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧╗тпшлn╕Їд@мq61~90╕╣,30.14,жэ,,,1060320,дgжa1л╪кл1иожь2,дQд╗╝h,дGдQдT╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050325,239.52999999999997,3,2,2,ж│,ж│,22780000,103226,йY╣Dенн▒,42.1,2400000,,RPWRMLSJNHMFFBH96CA
