¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
²M¤ô°Ï,¤g¦a,»ÈÁp¬q2251~2280¦a¸¹,194.0,¦í,,,1060401,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,8100000,41753,,0.0,0,,RPSNMLPJNHMFFCL98CA
²M¤ô°Ï,¤g¦a,ûJ·}¬q721~750¦a¸¹,73.5,¦í,,,1060401,¤g¦a6«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2223000,30245,,0.0,0,,RPVNMLPJNHMFFCL66CA
±ï´Ï°Ï,¤g¦a,«nÂ²¬q721~750¦a¸¹,62.0,¦í,,,1060401,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3000800,48400,,0.0,0,,RPXNMLSJNHMFFCL17CA
¨F³À°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¨F³À°Ï¥|¥­µó42«Ñ1~30¸¹,22.75,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0661110,72.8,3,2,1,¦³,µL,1500000,20604,,0.0,0,,RPPNMLRKNHMFFCL98CA
¨F³À°Ï,¤g¦a,ºÖ¦Ü¬q631~660¦a¸¹,197.76,¦í,,,1060301,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4845663,24503,,0.0,0,,RPQOMLNLNHMFFCL88CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°ÏÄå«°¤Tµó1~30¸¹,3.38,¦í,,,1060301,¤g¦a3«Øª«1¨®¦ì0,¤C¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840426,20.72,1,0,1,¦³,¦³,1250000,60328,,0.0,0,,RPPRMLTJNHMFFCB48CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï¥ÌµÂ¸ô¤@¬q27«Ñ1~30¸¹,20.26,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0940408,144.93,3,2,2,¦³,¦³,9000000,62099,©Y¹D¾÷±ñ,10.25,0,,RPXPMLLKNHMFFCB38CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï¬Ó«°µó31~60¸¹,28.9,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì1,¤Q¤G¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960625,180.48000000000002,3,2,2,¦³,¦³,7750000,42941,©Y¹D¥­­±,0.0,0,,RPRUMLMKNHMFFCB38CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï¦Üµ½¸ô121«Ñ1~30¸¹,3.57,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤Q¤G¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821014,26.75,1,0,1,¦³,¦³,1660000,62056,,0.0,0,,RPPOMLOKNHMFFCB77CA
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n¤Ù°Ï¾¤©ú¸ô¤@¬q157«Ñ31~60¸¹,21.87,¦í,,,1060401,¤g¦a2«Øª«1¨®¦ì1,¤C¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0811215,101.5,2,2,2,¦³,¦³,4450000,43842,©Y¹D¾÷±ñ,0.0,0,,RPQPMLRKNHMFFCB28CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï»OÆW¤j¹D¤T¬q556«Ñ1~30¸¹,71.04,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840811,291.52,4,3,2,¦³,µL,17800000,61059,,0.0,0,,RPSUMLRKNHMFFCB98CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°ÏÀsªù¤@µó211~240¸¹,40.19,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì2,¤»¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0961218,255.79,4,2,2,¦³,¦³,21800000,85226,©Y¹D¥­­±,46.28,0,,RPWOMLOLNHMFFCB58CA
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n¤Ù°Ïªe«n¸ô¥|¬q691~720¸¹,40.75,¦í,,,1060301,¤g¦a2«Øª«1¨®¦ì2,¤Q¤@¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1041022,308.05,3,2,3,¦³,¦³,31000000,111448,©Y¹D¥­­±,60.4,3400000,,RPVPMLOLNHMFFCB58CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï¶¶©M¤@µó181~210¸¹,14.35,¦í,,,1060301,¤g¦a2«Øª«1¨®¦ì0,¤C¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0810430,83.59,3,2,1,¦³,µL,3800000,45460,,0.0,0,,RPPRMLPLNHMFFCB28CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°ÏÄå«°¤­µó1~30¸¹,8.83,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840621,51.01,2,1,2,¦³,¦³,3700000,72535,,0.0,0,,RPQRMLPLNHMFFCB38CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï¤u·~°Ï¤@¸ô1~30¸¹,22.48,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì0,¤Q¤@¼h,¤Q¤@¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830330,222.2,3,2,2,¦³,¦³,9500000,42754,,0.0,0,,RPPNMLRLNHMFFCB08CA
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï«C®ü¸ô¤G¬q271~300¸¹,18.93,°Ó,,,1060301,¤g¦a1«Øª«1¨®¦ì1,¤@¼h¡A¤G¼h¡A¤T¼h¡AÃM¼Ó,¤Q¤­¼h,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0840420,157.73999999999998,0,0,0,µL,¦³,17000000,107772,©Y¹D¾÷±ñ,0.0,0,,RPPPMLLMNHMFFCB77CA
¯«©£°Ï,¤g¦a,°êÂ×¬q61~90¦a¸¹,561.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060301,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2917587,5201,,0.0,0,,RPVNMLMJNHMFFAL78CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«Â×­ì°Ï¤j©÷µó51«Ñ1~30¸¹,30.62,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤@¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0790810,114.28999999999999,3,2,2,¦³,µL,1084784,9492,©Y¹D¥­­±,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPOOMLMJNHMFFAL18CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Â×­ì°ÏñT§ø¸ô465«Ñ104¤§1~30¸¹,101.23,,¯S©w¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,1060301,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0700324,90.68,3,2,2,¦³,µL,5500000,60653,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPPOMLMJNHMFFAL28CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Â×­ì°Ï¦Û¥ßµó31~60¸¹,66.0,°Ó,,,1060201,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0610703,126.08,4,2,2,¦³,µL,12100000,95971,,0.0,0,,RPPNMLOJNHMFFAL38CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï´_¿³¸ô¤G¬q71«Ñ77§Ë61~90¸¹,17.07,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830825,155.72,4,2,2,¦³,¦³,7650000,49127,©Y¹D¾÷±ñ,0.0,0,,RPUNMLLJNHMFFAB57CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¼w´I¸ô1~30¸¹,29.29,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì2,¥|¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050914,232.93,3,2,2,¦³,¦³,16000000,68690,©Y¹D¥­­±,53.28,0,,RPROMLMJNHMFFAB47CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¤å¤ß«n¸ô901~930¸¹,9.45,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860204,126.11,3,2,2,¦³,¦³,5050000,40044,©Y¹D¾÷±ñ,0.0,0,,RPUOMLMJNHMFFAB77CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï«n¨ÊªF¸ô¤@¬q331~360¸¹,13.88,¦í,,,1060201,¤g¦a2«Øª«1¨®¦ì0,¤G¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870915,123.48,3,2,2,¦³,¦³,3880000,31422,,0.0,0,,RPTQMLMJNHMFFAB87CA
¦è°Ï,¤g¦a,«á‚W¤l¬q91~120¦a¸¹,168.0,°Ó,,,1051201,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,19000000,113095,,0.0,0,,RPPRMLMJNHMFFAB57CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï«Ø¦¨¸ô1011«Ñ1~30¸¹,26.62,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0680731,56.89,3,2,1,¦³,µL,2700000,47460,,0.0,0,,RPXRMLMJNHMFFAB38CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï¤O¦æ¸ô66«Ñ1~30¸¹,34.86,¦í,,,1060401,¤g¦a2«Øª«1¨®¦ì0,¤@¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0691001,91.8,3,2,1,¦³,µL,2000000,21786,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C¶R¨ü¤H¦@2¤H,RPQNMLOJNHMFFAB47CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï°ª¤u«n¸ô65«Ñ1~30¸¹,22.7,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,¤Q¤@¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050922,163.74,3,2,2,¦³,¦³,9500000,58019,©Y¹D¥­­±,29.75,0,,RPSOMLOJNHMFFAB77CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï«Ø°ê«n¸ô¤@¬q241~270¸¹,10.22,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤Q¤@¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0890505,106.9,2,2,1,¦³,¦³,5100000,47708,©Y¹D¥­­±,16.67,0,,RPOPMLOJNHMFFAB47CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï»O¤¤¸ô71«Ñ31~60¸¹,49.0,°Ó,,,1060401,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0500630,69.54,2,2,1,¦³,µL,2800000,40265,,0.0,0,,RPSNMLRJNHMFFAB97CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¤u¾Ç¤Gµó121~150¸¹,17.86,¦í,,,1060401,¤g¦a1«Øª«1¨®¦ì0,¤Q¤@¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870930,105.73,3,2,2,¦³,¦³,4700000,44453,,0.0,0,,RPOPMLPJNHMFFAB57CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï¤j©¾«nµó61~90¸¹,12.74,¨ä¥L,,,1060401,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0960705,138.7,3,2,2,¦³,¦³,10280000,78758,©Y¹D¥­­±,23.41,1200000,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPXOMLSJNHMFFAB68CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï´_¿³¥_¸ô781~810¸¹,15.07,¦í,,,1060201,¤g¦a2«Øª«1¨®¦ì1,¤K¼h,¤Q¤@¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030926,94.97999999999999,2,2,1,¦³,¦³,7000000,73700,©Y¹D¾÷±ñ,15.11,0,,RPOPMLSJNHMFFAB87CA
¦è°Ï,¤g¦a,³Â¶éÀY¬q61~90¦a¸¹,15.0,¦í,,,1060301,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1464909,97661,,0.0,0,,RPRPMLTJNHMFFAB28CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï©¾©ú«n¸ô1081~1110¸¹,21.46,¦í,,,1030201,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1060213,176.66,3,2,2,¦³,¦³,11280000,67277,©Y¹D¥­­±,23.86,1000000,,RPUPMLLKNHMFFAB87CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï©¾©ú«n¸ô1081~1110¸¹,27.19,¦í,,,1030601,¤g¦a1«Øª«1¨®¦ì2,¤Q¤@¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1060213,233.42000000000002,4,2,2,¦³,¦³,16800000,78621,©Y¹D¥­­±,47.72,2200000,,RPQOMLMKNHMFFAB47CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï©¾©ú«n¸ô1081~1110¸¹,21.43,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì1,¤G¤Q¥|¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1060213,176.4,3,2,2,¦³,¦³,13480000,80503,©Y¹D¥­­±,23.86,1200000,,RPUNMLMKNHMFFAB77CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï©¾©ú«n¸ô1081~1110¸¹,21.43,¦í,,,1060301,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1060213,176.4,3,2,2,¦³,¦³,12750000,76373,©Y¹D¥­­±,23.86,1100000,,SPUNMLMKNHMFFAB87CA
